"","Date","Site.Name","COUNTY","mean_lat","mean_long","Month","Year","PM2.5 - Local Conditions","Ozone","Acceptable PM2.5 AQI & Speciation Mass"
"1",2020-01-01,"Bryson City","Swain",35.434767,-83.442133,1,2020,35,NA,NA
"2",2020-01-01,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,13,NA,NA
"3",2020-01-01,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,24,NA,NA
"4",2020-01-01,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,31,NA,NA
"5",2020-01-01,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,47,NA
"6",2020-01-01,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,20,28,NA
"7",2020-01-01,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,22,NA,NA
"8",2020-01-01,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,NA,14
"9",2020-01-01,"Millbrook School","Wake",35.856111,-78.574167,1,2020,28,32.5,NA
"10",2020-01-01,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,NA,15
"11",2020-01-01,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,24,26,NA
"12",2020-01-02,"Bryson City","Swain",35.434767,-83.442133,1,2020,51,NA,NA
"13",2020-01-02,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,15,NA,NA
"14",2020-01-02,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,40,NA,NA
"15",2020-01-02,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,37,NA,NA
"16",2020-01-02,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,44,7
"17",2020-01-02,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,38,25,NA
"18",2020-01-02,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,25.5,NA,NA
"19",2020-01-02,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,NA,20
"20",2020-01-02,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,NA,12
"21",2020-01-02,"Millbrook School","Wake",35.856111,-78.574167,1,2020,38.5,28,NA
"22",2020-01-02,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,26,NA,30
"23",2020-01-02,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,35,25,NA
"24",2020-01-03,"Bryson City","Swain",35.434767,-83.442133,1,2020,44,NA,NA
"25",2020-01-03,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,18,NA,NA
"26",2020-01-03,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,68,NA,NA
"27",2020-01-03,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,58,NA,NA
"28",2020-01-03,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,36,NA
"29",2020-01-03,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,59,16.5,NA
"30",2020-01-03,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,55,NA,NA
"31",2020-01-03,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,NA,23
"32",2020-01-03,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,60,NA,NA
"33",2020-01-03,"Millbrook School","Wake",35.856111,-78.574167,1,2020,61,22,NA
"34",2020-01-03,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,NA,34
"35",2020-01-03,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,47,18,NA
"36",2020-01-04,"Bryson City","Swain",35.434767,-83.442133,1,2020,28,NA,NA
"37",2020-01-04,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,19,NA,NA
"38",2020-01-04,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,42,NA,NA
"39",2020-01-04,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,40,NA,NA
"40",2020-01-04,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,34,NA
"41",2020-01-04,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,39,26,NA
"42",2020-01-04,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,35,NA,NA
"43",2020-01-04,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,NA,23
"44",2020-01-04,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,25,NA,NA
"45",2020-01-04,"Millbrook School","Wake",35.856111,-78.574167,1,2020,39,28,NA
"46",2020-01-04,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,NA,25
"47",2020-01-04,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,30,23,NA
"48",2020-01-05,"Bryson City","Swain",35.434767,-83.442133,1,2020,30,NA,NA
"49",2020-01-05,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,15,NA,NA
"50",2020-01-05,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,37,NA,NA
"51",2020-01-05,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,32.5,NA,NA
"52",2020-01-05,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,39,13
"53",2020-01-05,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,32,30.5,NA
"54",2020-01-05,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,27,NA,NA
"55",2020-01-05,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,NA,9
"56",2020-01-05,"Linville Falls","Avery",35.972347,-81.933072,1,2020,NA,NA,15
"57",2020-01-05,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,23,NA,NA
"58",2020-01-05,"Millbrook School","Wake",35.856111,-78.574167,1,2020,32,34.5,NA
"59",2020-01-05,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,18,NA,24
"60",2020-01-05,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,32,34,NA
"61",2020-01-06,"Bryson City","Swain",35.434767,-83.442133,1,2020,35,NA,NA
"62",2020-01-06,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,21,NA,NA
"63",2020-01-06,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,35,NA,NA
"64",2020-01-06,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,32,NA,NA
"65",2020-01-06,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,40,NA
"66",2020-01-06,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,40,30.5,NA
"67",2020-01-06,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,22,NA,NA
"68",2020-01-06,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,NA,8
"69",2020-01-06,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,23,NA,NA
"70",2020-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,2020,33,32,NA
"71",2020-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,NA,17
"72",2020-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,29,33,NA
"73",2020-01-07,"Bryson City","Swain",35.434767,-83.442133,1,2020,54,NA,NA
"74",2020-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,2020,9,NA,NA
"75",2020-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,2020,49,NA,NA
"76",2020-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,2020,39,NA,NA
"77",2020-01-07,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,2020,NA,37,NA
"78",2020-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,2020,47,29,NA
"79",2020-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,2020,28,NA,NA
"80",2020-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,2020,NA,NA,15
"81",2020-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,2020,38,NA,NA
"82",2020-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,2020,48,31.5,NA
"83",2020-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,2020,NA,NA,18
"84",2020-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,2020,27,30,NA
